INSERT INTO Products (Name, Description, Price, StockQuantity, Category_id, Image_url, Is_Deleted, Created_at, Updated_at) VALUES
('EQ Pants Baby Diaper L 24s', 'Comfortable baby diaper pants, size L, for babies with 24 pieces per pack.', 255.5, 0, 1, 'images/products/baby_care/EQ-Pants-Baby-Diaper-L-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('EQ Pants Baby Diaper M 24s', 'Soft and absorbent baby diaper pants, size M, containing 24 pieces per pack.', 206.2, 0, 1, 'images/products/baby_care/EQ-Pants-Baby-Diaper-M-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('EQ Pants Baby Diaper Mega Pack XL 66s', 'Large pack of baby diaper pants, size XL, perfect for longer use with 66 pieces.', 580.6, 0, 1, 'images/products/baby_care/EQ-PANTS-BABY-DIAPER-MEGA-PACK-XL-66S.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('EQ Pants Baby Diaper XXL 24s', 'Extra-large size baby diaper pants with 24 pieces per pack, designed for comfort and dryness.', 237, 0, 1, 'images/products/baby_care/EQ-Pants-Baby-Diaper-XXL-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants L 24s', 'Happy brand baby diaper pants, size L, for active babies, comes with 24 pieces per pack.', 222,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-L-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants M 12s', 'Smaller pack of Happy baby diaper pants, size M, with 12 pieces for quick changes.', 180,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-M-12s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants XL 12s', 'Happy baby diaper pants, size XL, 12 pieces for bigger babies needing extra comfort.', 225.73,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-XL-12s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants XXL 24s', 'Extra-large Happy diaper pants for bigger babies, with 24 pieces for extended usage.', 255.5,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-XXL-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Pampers Baby Wipes with Aloe 72s', 'Gentle baby wipes with aloe, perfect for sensitive skin, comes in a pack of 72 wipes.', 140.55,  0, 1, 'images/products/baby_care/Pampers-Baby-Wipes-with-Aloe-72s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Johnsons Baby Lotion 500ml', 'Moisturizing Johnsons baby lotion, keeps your baby''s skin soft and smooth, 500ml bottle.', 333.87,  0, 1, 'images/products/baby_care/Johnsons-Baby-Lotion-500ml.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Johnsons Baby Shampoo 750ml', 'Johnsons baby shampoo, 750ml bottle, gentle formula for soft and healthy baby hair.', 379,  0, 1, 'images/products/baby_care/Johnsons-Baby-Shampoo-750ml.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Beng-Beng Chocolate Wafer 26.5g 1s', 'Chocolate-covered rice crispies.', 10, 0, 2, 'images/products/snacks/Beng-beng.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Bangus Extra Large Approximate 1kg', 'Fresh bangus.', 312, 0, 12, 'images/products/meat/Bangus-Extra-Large-Approximate-1kg.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Beef Bulalo 500g Frozen Packed', 'Beef for bulalo soup.', 202,  0, 12, 'images/products/meat/Beef-Bulalo-500g-Frozen-Packed.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Beef Caldereta Cut 500g', 'Beef cut for caldereta.', 202,  0, 12, 'images/products/meat/Beef-Caldereta-Cut-500g.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Beef Cubes 500g', 'Cubes of beef.', 260, 0,   12, 'images/products/meat/Beef-Cubes-500g.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Beef Ground Sirloin 500g', 'Ground sirloin beef.', 251.75,  0, 12, 'images/products/meat/Beef-Ground-Sirloin-500g.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Beef Short Ribs 500g', 'Short ribs for grilling.', 255,  0, 12, 'images/products/meat/Beef-Short-Ribs-500g.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Beef Sirloin 500g', 'Quality sirloin beef.', 320.5,  0, 12, 'images/products/meat/Beef-Sirloin-500g.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Chicken Breast Fillet 500g', 'Lean chicken breast.', 204.5,  0, 12, 'images/products/meat/Chicken-Breast-Fillet-500g.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Chicken Wings 500g', 'Fresh chicken wings.', 148.75,  0, 12, 'images/products/meat/Chicken-Wings-500g.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Ground Beef 500g', 'Ground beef for various dishes.', 222, 0,  12, 'images/products/meat/Ground-Beef-500g.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Ground Pork 500g', 'Ground pork for cooking.', 199,  0, 12, 'images/products/meat/Ground-Pork-500g.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Pork Liempo 500g', 'Pork belly cut.', 245.5, 0,  12, 'images/products/meat/Pork-Liempo-500g.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Pork Menudo Cut 500g', 'Menudo cut of pork.', 348, 0,   12, 'images/products/meat/Pork-Menudo-Cut-500g.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Shrimp 1kg', 'Fresh shrimp.', 564.50, 0, 12, 'images/products/meat/Shrimp-1kg.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Tilapia Medium Approximate 1kg', 'Fresh tilapia.', 211,  0,12, 'images/products/meat/Tilapia-Medium-Approximate-1kg.png', 0, '2024-10-06 17:53:00', '2024-10-06 17:53:00'),
('Mama Sitas Oyster Sauce Sachet 30g', 'Oyster sauce for cooking.', 9, 0, 13, 'images/products/condiments/Mama-Sitas-Oyster-Sauce-Sachet-30g.png', 0, '2024-10-06 09:03:00', '2024-10-06 09:03:00'),
('Mang Tomas All Around Sarsa Regular 325g', 'All-purpose sauce.', 39.25,  0, 13, 'images/products/condiments/Mang-Tomas-All-Around-Sarsa-Regular-325g.png', 0, '2024-10-06 09:03:00', '2024-10-06 09:03:00'),
('Silver Swan Soy Sauce Pouch 200ml', 'Soy sauce for seasoning.', 13,  0,13, 'images/products/condiments/Silver-Swan-Soy-Sauce-Pouch-200ml.png', 0, '2024-10-06 09:03:00', '2024-10-06 09:03:00'),
('Silver Swan Vinegar Pouch 200ml', 'Vinegar for cooking.', 10,  0,13, 'images/products/condiments/Silver-Swan-Vinegar-Pouch-200ml.png', 0, '2024-10-06 09:03:00', '2024-10-06 09:03:00'),
('UFC Tamis Anghang Banana Catsup Savers Pack 200g', 'Banana ketchup.', 12,  0,13, 'images/products/condiments/UFC-Tamis-Anghang-Banana-Catsup-Savers-Pack-200g.png', 0, '2024-10-06 09:03:00', '2024-10-06 09:03:00'),
('Gardenia White Bread Classic Loaf 600g', 'Classic white bread.', 85,  0,14, 'images/products/bread/Gardenia-White-Bread-Classic-Loaf-600g.png', 0, '2024-10-06 10:49:00', '2024-10-06 10:49:00'),
('Monde Milk Loaf Bread 600g', 'Soft milk loaf bread.', 77.75, 0, 14, 'images/products/bread/Monde-Milk-Loaf-Bread-600g.png', 0, '2024-10-06 10:49:00', '2024-10-06 10:49:00'),
('CDO Crispy Burger 228g', 'Crispy burger patties.', 74.75,  0,15, 'images/products/frozen/CDO-Crispy-Burger-228g.png', 0, '2024-10-06 11:39:00', '2024-10-06 11:39:00'),
('CDO Idol Cheesedog Regular 250g', 'Cheesedogs for grilling.', 64.5,  0,15, 'images/products/frozen/CDO-Idol-Cheesedog-Regular-250g.png', 0, '2024-10-06 11:39:00', '2024-10-06 11:39:00'),
('Holiday Chicken Hotdog Jumbo 1kg', 'Jumbo hotdogs.', 187.75,  0,15, 'images/products/frozen/Holiday-Chicken-Hotdog-Jumbo.png', 0, '2024-10-06 11:39:00', '2024-10-06 11:39:00'),
('Purefoods Chicken Breast Nuggets 200g', 'Chicken nuggets for frying.', 115,  0,15, 'images/products/frozen/Purefoods-Chicken-Breast-Nuggets-200g.png', 0, '2024-10-06 11:39:00', '2024-10-06 11:39:00'),
('Purefoods Star ChickN Tasty Chicken Hotdog Regular 250g', 'Purefoods Star chicken hotdog, regular size, 250g pack, great for grilling.', 60.25,  0,15, 'images/products/frozen/Purefoods-Star-ChickN-Tasty-Chicken-Hotdog-Regular-250g.png', 0, '2024-10-06 11:39:00', '2024-10-06 11:39:00'),
('Purefoods Star Hotdog Jumbo 1kg', 'Regular hotdogs.', 178.5,  0,15, 'images/products/frozen/Purefoods-Star-Hotdog-Jumbo-1kg.png', 0, '2024-10-06 11:39:00', '2024-10-06 11:39:00'),
('Tender Juicy Jumbo Hotdog', 'Tender Juicy jumbo hotdog, known for its soft and juicy texture.', 211,  0,15, 'images/products/frozen/Tender-Juicy-Jumbo-Hotdog.png', 0, '2024-10-06 11:39:00', '2024-10-06 11:39:00'),
('Lucky Me Beef Spicy 55g', 'Spicy beef-flavored instant noodles.', 11,  0,16, 'images/products/packaged/Lucky-Me-Beef-Spicy-55g.png', 0,  '2024-10-06 11:39:00', '2024-10-06 11:39:00'),
('Lucky Me Instant Noodles Beef 55g', 'Classic beef-flavored Lucky Me instant noodles, 55g pack.', 11, 0, 16, 'images/products/packaged/Lucky-Me-Instant-Noodles-Beef-55g.png', 0, '2024-10-07 00:16:00', '2024-10-07 00:16:00'),
('Lucky Me Instant Noodles Chicken 55g', 'Chicken-flavored Lucky Me instant noodles, perfect for a quick snack, 55g pack.', 11,  0,16, 'images/products/packaged/Lucky-Me-Instant-Noodles-Chicken-55g.png', 0, '2024-10-06 23:16:00','2024-10-06 23:16:00'),
('Lucky Me Instant Pancit Canton Kalamansi Kasalo Pack 120g', 'Lucky Me Pancit Canton with a refreshing kalamansi flavor, 120g Kasalo pack for sharing.', 14, 0, 16, 'images/products/packaged/Lucky-Me-Instant-Pancit-Canton-Kalamansi-Kasalo-Pack-120g.png', 0, '2024-10-06 23:16:00', '2024-10-06 23:16:00'),
('Lucky Me Pancit Canton Chilimansi Flavor Instant Stir-Fried Noodles 80g', 'Lucky Me Pancit Canton with a spicy chilimansi flavor, 80g pack for stir-fry lovers.', 14,  0,16, 'images/products/packaged/Lucky-Me-Pancit-Canton-Chilimansi-Flavor-Instant-Stir-Fried-Noodles-80g.png', 0, '2024-10-06 23:16:00', '2024-10-06 23:16:00'),
('Lucky Me Pancit Canton Extra Hot Chili Flavor Instant Stir-Fried Noodles 75g', 'Lucky Me Pancit Canton with an extra hot chili flavor, 75g pack for spicy food lovers.', 14,  0,16, 'images/products/packaged/Lucky-Me-Pancit-Canton-Extra-Hot-Chili-Flavor-Instant-Stir-Fried-Noodles-75g.png', 0, '2024-10-06 23:16:00', '2024-10-06 23:16:00'),
('Quickchow Instant Mami Noodles Beef', 'Quickchow instant mami noodles with beef flavor, a tasty and filling option.', 10, 0, 16, 'images/products/packaged/Quickchow-Instant-Mami-Noodles-Beef.png', 0, '2024-10-06 23:16:00', '2024-10-06 23:16:00'),
('Quickchow Instant Mami Noodles Chicken', 'Quickchow chicken-flavored mami noodles, a comforting quick meal.', 10, 0, 16, 'images/products/packaged/Quickchow-Instant-Mami-Noodles-Chicken.png', 0, '2024-10-06 23:16:00', '2024-10-06 23:16:00'),
('Quickchow Instant Mami Noodles Spicy', 'Spicy Quickchow mami noodles, perfect for those who like their meal with a kick.', 10,  0,16, 'images/products/packaged/Quickchow-Instant-Mami-Noodles-Spicy.png', 0, '2024-10-06 23:16:00', '2024-10-06 23:16:00');
